IPv4-адрес,Критерий доступности,Сумма чисел
8.8.8.8,port_443_open,32
1.1.1.0,port_80_open,3
1.1.1.1,port_80_open,4
1.1.1.2,port_80_open,5
1.1.1.3,port_80_open,6
1.1.1.4,port_80_open,7
1.1.1.5,port_80_open,8
1.1.1.6,port_80_open,9
1.1.1.7,port_80_open,10
1.1.1.8,port_80_open,11
1.1.1.9,port_80_open,12
1.1.1.10,port_80_open,13
1.1.1.11,port_80_open,14
1.1.1.12,port_80_open,15
1.1.1.13,port_80_open,16
1.1.1.14,port_80_open,17
1.1.1.15,port_80_open,18
1.1.1.16,port_80_open,19
1.1.1.17,port_80_open,20
1.1.1.18,port_80_open,21
1.1.1.19,port_80_open,22
1.1.1.20,port_80_open,23
1.1.1.21,port_80_open,24
1.1.1.22,port_80_open,25
1.1.1.23,port_80_open,26
1.1.1.24,port_80_open,27
1.1.1.25,port_80_open,28
1.1.1.26,port_80_open,29
1.1.1.27,port_80_open,30
1.1.1.28,port_80_open,31
1.1.1.29,port_80_open,32
1.1.1.30,port_80_open,33
1.1.1.31,port_80_open,34
1.1.1.32,port_80_open,35
1.1.1.33,port_80_open,36
1.1.1.34,port_80_open,37
1.1.1.35,port_80_open,38
1.1.1.36,port_80_open,39
1.1.1.37,port_80_open,40
1.1.1.38,port_80_open,41
1.1.1.39,port_80_open,42
1.1.1.40,port_80_open,43
1.1.1.41,port_80_open,44
1.1.1.42,port_80_open,45
1.1.1.43,port_80_open,46
1.1.1.44,port_80_open,47
1.1.1.45,port_80_open,48
1.1.1.46,port_80_open,49
1.1.1.47,port_80_open,50
1.1.1.48,port_80_open,51
1.1.1.49,port_80_open,52
1.1.1.50,port_80_open,53
1.1.1.51,port_80_open,54
1.1.1.52,port_80_open,55
1.1.1.53,port_80_open,56
1.1.1.54,port_80_open,57
1.1.1.55,port_80_open,58
1.1.1.56,port_80_open,59
1.1.1.57,port_80_open,60
1.1.1.58,port_80_open,61
1.1.1.59,port_80_open,62
1.1.1.60,port_80_open,63
1.1.1.61,port_80_open,64
1.1.1.62,port_80_open,65
1.1.1.63,port_80_open,66
