IPv4-адрес 1,Критерий доступности 1,IPv4-адрес 2,Критерий доступности 2,Признак совпадения
8.8.8.8,port_443_open,1.1.1.29,port_80_open,equal_sum=32
1.1.1.41,port_80_open,23.5.10.6,port_80_open,equal_sum=44
1.1.1.47,port_80_open,13.32.5.0,port_80_open,equal_sum=50
1.1.1.52,port_80_open,13.32.2.8,port_80_open,equal_sum=55
1.1.1.52,port_80_open,13.32.10.0,port_80_open,equal_sum=55
13.32.2.8,port_80_open,13.32.10.0,port_80_open,equal_sum=55
1.1.1.57,port_80_open,13.32.15.0,port_80_open,equal_sum=60
1.1.1.62,port_80_open,13.32.4.16,port_80_open,equal_sum=65
1.1.1.62,port_80_open,13.32.12.8,port_80_open,equal_sum=65
1.1.1.62,port_80_open,13.32.20.0,port_80_open,equal_sum=65
13.32.4.16,port_80_open,13.32.12.8,port_80_open,equal_sum=65
13.32.4.16,port_80_open,13.32.20.0,port_80_open,equal_sum=65
13.32.12.8,port_80_open,13.32.20.0,port_80_open,equal_sum=65
1.1.1.67,port_80_open,13.32.1.24,port_80_open,equal_sum=70
1.1.1.67,port_80_open,13.32.25.0,port_80_open,equal_sum=70
13.32.1.24,port_80_open,13.32.25.0,port_80_open,equal_sum=70
1.1.1.72,port_80_open,13.32.6.24,port_80_open,equal_sum=75
1.1.1.72,port_80_open,13.32.14.16,port_80_open,equal_sum=75
1.1.1.72,port_80_open,13.32.22.8,port_80_open,equal_sum=75
1.1.1.72,port_80_open,13.32.30.0,port_80_open,equal_sum=75
13.32.6.24,port_80_open,13.32.14.16,port_80_open,equal_sum=75
13.32.6.24,port_80_open,13.32.22.8,port_80_open,equal_sum=75
13.32.6.24,port_80_open,13.32.30.0,port_80_open,equal_sum=75
13.32.14.16,port_80_open,13.32.22.8,port_80_open,equal_sum=75
13.32.14.16,port_80_open,13.32.30.0,port_80_open,equal_sum=75
13.32.22.8,port_80_open,13.32.30.0,port_80_open,equal_sum=75
1.1.1.77,port_80_open,13.32.3.32,port_80_open,equal_sum=80
1.1.1.77,port_80_open,13.32.11.24,port_80_open,equal_sum=80
1.1.1.77,port_80_open,13.32.19.16,port_80_open,equal_sum=80
1.1.1.77,port_80_open,13.32.27.8,port_80_open,equal_sum=80
13.32.3.32,port_80_open,13.32.11.24,port_80_open,equal_sum=80
13.32.3.32,port_80_open,13.32.19.16,port_80_open,equal_sum=80
13.32.3.32,port_80_open,13.32.27.8,port_80_open,equal_sum=80
13.32.11.24,port_80_open,13.32.19.16,port_80_open,equal_sum=80
13.32.11.24,port_80_open,13.32.27.8,port_80_open,equal_sum=80
13.32.19.16,port_80_open,13.32.27.8,port_80_open,equal_sum=80
1.1.1.81,port_80_open,23.1.10.50,port_80_open,equal_sum=84
1.1.1.82,port_80_open,13.32.16.24,port_80_open,equal_sum=85
1.1.1.82,port_80_open,13.32.24.16,port_80_open,equal_sum=85
13.32.16.24,port_80_open,13.32.24.16,port_80_open,equal_sum=85
1.1.1.83,port_80_open,23.15.30.18,port_80_open,equal_sum=86
1.1.1.87,port_80_open,13.32.5.40,port_80_open,equal_sum=90
1.1.1.87,port_80_open,13.32.13.32,port_80_open,equal_sum=90
1.1.1.87,port_80_open,13.32.21.24,port_80_open,equal_sum=90
1.1.1.87,port_80_open,13.32.29.16,port_80_open,equal_sum=90
13.32.5.40,port_80_open,13.32.13.32,port_80_open,equal_sum=90
13.32.5.40,port_80_open,13.32.21.24,port_80_open,equal_sum=90
13.32.5.40,port_80_open,13.32.29.16,port_80_open,equal_sum=90
13.32.13.32,port_80_open,13.32.21.24,port_80_open,equal_sum=90
13.32.13.32,port_80_open,13.32.29.16,port_80_open,equal_sum=90
13.32.21.24,port_80_open,13.32.29.16,port_80_open,equal_sum=90
1.1.1.90,port_80_open,23.3.51.16,port_80_open,equal_sum=93
1.1.1.92,port_80_open,13.32.2.48,port_80_open,equal_sum=95
1.1.1.92,port_80_open,13.32.10.40,port_80_open,equal_sum=95
1.1.1.92,port_80_open,13.32.18.32,port_80_open,equal_sum=95
1.1.1.92,port_80_open,13.32.26.24,port_80_open,equal_sum=95
1.1.1.92,port_80_open,34.1.10.50,port_443_open,equal_sum=95
13.32.2.48,port_80_open,13.32.10.40,port_80_open,equal_sum=95
